Drift Type,Study Area,Drift Area [m^2],Mean Drift Depth [m],Mean Drift Volume [m^3],Std. Drift Depth [m],Median Drift Depth [m],CV Drift Depth,Volume:Area Ratio
watertrack,HV,23636.37,0.78,18053.44,0.17,0.79,0.22,0.76
watertrack,HV,9069.76,0.78,7044.64,0.2,0.76,0.26,0.78
watertrack,HV,27802.66,1.09,30428.81,0.41,1.11,0.38,1.09
watertrack,HV,4386.98,0.9,3958.89,0.31,0.83,0.34,0.9
watertrack,HV,43782.34,0.96,42064.01,0.33,0.87,0.35,0.96
watertrack,HV,7795.84,0.91,7116.27,0.37,0.79,0.4,0.91
watertrack,HV,22701.69,0.89,20116.0,0.28,0.83,0.32,0.89
watertrack,HV,25218.65,0.8,20053.26,0.26,0.74,0.32,0.8
watertrack,HV,16317.9,0.96,15617.07,0.32,0.87,0.33,0.96
watertrack,HV,8373.91,0.9,7544.32,0.19,0.87,0.21,0.9
lake,HV,35968.61,1.28,46102.45,0.28,1.3,0.22,1.28
lake,HV,61505.78,1.33,81642.13,0.37,1.33,0.28,1.33
lake,HV,117563.8,1.31,154115.82,0.26,1.32,0.2,1.31
watertrack,HV,41565.97,1.21,50394.97,0.27,1.22,0.22,1.21
polygon,HV,683.96,0.83,571.45,0.1,0.82,0.12,0.84
polygon,HV,1336.34,0.82,1094.19,0.08,0.82,0.1,0.82
polygon,HV,596.84,0.82,496.03,0.1,0.83,0.12,0.83
polygon,HV,687.21,0.84,574.21,0.11,0.84,0.13,0.84
polygon,HV,520.71,0.82,437.06,0.08,0.82,0.1,0.84
polygon,HV,1383.34,0.87,1206.45,0.1,0.88,0.12,0.87
polygon,HV,747.62,0.88,663.37,0.1,0.87,0.11,0.89
other,HV,1885.15,1.09,2050.9,0.23,1.12,0.22,1.09
other,CLPX,35638.28,0.84,29926.29,0.12,0.8,0.15,0.84
other,HV,23559.06,0.88,20665.89,0.15,0.85,0.17,0.88
stream,HV,2854.65,1.13,3207.83,0.29,1.14,0.26,1.12
stream,HV,1974.88,1.27,2520.35,0.37,1.24,0.29,1.28
stream,HV,1718.25,0.89,1534.4,0.21,0.88,0.24,0.89
lake,CLPX,27257.67,1.03,27982.75,0.24,1.0,0.23,1.03
lake,CLPX,8655.48,1.26,10898.18,0.3,1.25,0.24,1.26
lake,CLPX,53484.47,1.17,62503.09,0.27,1.16,0.23,1.17
lake,CLPX,5933.89,0.97,5779.72,0.19,0.95,0.19,0.97
stream,CLPX,8007.54,1.42,11366.7,0.31,1.45,0.22,1.42
stream,CLPX,7761.73,1.28,9946.67,0.26,1.29,0.2,1.28
watertrack,CLPX,7921.86,0.97,7741.49,0.17,0.95,0.18,0.98
watertrack,CLPX,1071.78,0.85,898.68,0.08,0.83,0.09,0.84
watertrack,CLPX,820.56,0.85,701.22,0.08,0.84,0.1,0.85
watertrack,CLPX,516.31,0.9,456.94,0.12,0.89,0.14,0.89
watertrack,CLPX,480.21,0.82,390.1,0.07,0.82,0.09,0.81
watertrack,CLPX,653.36,0.79,525.01,0.06,0.79,0.08,0.8
watertrack,CLPX,2094.56,0.87,1818.67,0.1,0.86,0.11,0.87
watertrack,CLPX,2067.69,0.85,1754.29,0.07,0.85,0.08,0.85
watertrack,CLPX,3515.39,0.89,3126.44,0.15,0.86,0.17,0.89
watertrack,CLPX,3344.35,0.86,2869.25,0.09,0.85,0.1,0.86
watertrack,CLPX,2684.32,0.87,2338.17,0.08,0.87,0.09,0.87
polygon,CLPX,791.7,1.05,835.17,0.15,1.03,0.14,1.05
polygon,CLPX,245.42,1.0,243.83,0.13,0.98,0.13,0.99
polygon,CLPX,477.93,0.85,406.6,0.09,0.84,0.1,0.85
polygon,CLPX,70.65,0.77,57.83,0.07,0.76,0.1,0.82
polygon,CLPX,265.15,0.78,210.07,0.1,0.77,0.13,0.79
outcrop,CLPX,11967.67,1.48,17688.58,0.5,1.43,0.34,1.48
outcrop,CLPX,6084.59,1.46,8884.34,0.56,1.42,0.38,1.46
outcrop,CLPX,3636.01,1.15,4205.57,0.2,1.15,0.17,1.16
outcrop,CLPX,3572.95,1.23,4389.46,0.21,1.24,0.18,1.23
outcrop,CLPX,1900.61,1.28,2448.0,0.29,1.32,0.23,1.29
stream,CLPX,35131.28,1.24,43507.12,0.32,1.21,0.26,1.24
stream,CLPX,30090.37,1.23,37004.38,0.38,1.18,0.31,1.23
other,CLPX,33535.34,0.88,29439.03,0.12,0.86,0.13,0.88
other,CLPX,319265.07,0.88,282189.33,0.14,0.89,0.15,0.88
other,CLPX,463122.95,0.88,406252.36,0.14,0.87,0.16,0.88
